declaration	owner_module	destination_module	visibility	kind
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.toeplitzSineVector_angle	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.toeplitz_sine_boundary	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.det_gsColumnsToMatrix_ne_zero_of_linearIndependent	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.measurableSet_linearIndependent_fin_cons	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.measurable_modifiedGramSchmidtVectors_apply	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.span_range_ne_top_of_linearIndependent_of_card_lt	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add	NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ClosedFormAsymptotics	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence.0.NumStability.ginibreAbsoluteDetRecurrenceMeasurableSpace	NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact	private	definition
_private.NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence.0.NumStability.ginibreAbsoluteDetRecurrenceSigmaFinite	NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact	private	theorem
_private.NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence.0.NumStability.ginibre_natRawCast_one	NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact	private	theorem
