module	path	git_blob	source_sha256	source_lines	format2_declarations	authored_roots	ilean_sha256	ilean_bytes
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedSolve	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedSolve.lean	9f1f93395bab64f0282c83af020d1569ee3813c0	305C80A39962AF1C1D59B03706FC3D94ACEF7F2A2E0D36ED274FBA144DCFC844	464	12	12	AAB71526DDF57D27186D031084CB84296857E169B795BA392D19E138622997B7	55675
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedTerminal	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedTerminal.lean	cb66f54f67803e581272b13daccdacc08906987c	B5C2F3E494FB4DC8DACA399E392D7576D56B32733207F0D19D6211FCFD84F3CE	117	2	2	87805FAB0B51ABA34EABCEE1A51CB8641EA267D4E6851B92CD8AC8AD0F9576E6	17570
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanRoundedTerminalClosedForm	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanRoundedTerminalClosedForm.lean	5c6ec918bb416e8963d7f3955ab2669265b04578	53E051DCBFCA965EACDDD2428B98DCAAB0913931B7DFC2235A2B958C711EF969	446	12	12	198E6D827C0A36C5C648DF56A6F432D3ECFC92A7AAC0A272C53EE35C18F8A604	69483
NumStability.Algorithms.Cholesky.Higham11BunchKaufmanSourceCorrection	NumStability/Algorithms/Cholesky/Higham11BunchKaufmanSourceCorrection.lean	15ebebc09ac680437556efed67771816259e8fd5	3F39A7686D98BE5252CC0E3F0F65A1C340EC438696A21D5BC37911A8ADBF2188	283	11	11	977A09488BE47EE137D1541BFEC941ABD8336DA483CF9968DF5DA94191180AB1	23871
NumStability.Algorithms.Cholesky.Higham11BunchSharpGrowthBridge	NumStability/Algorithms/Cholesky/Higham11BunchSharpGrowthBridge.lean	27a9e94d27c30e9258cd711ee4a3e8bc1c204c19	D29878A54D6C27718DF3D710116C8C5220423C0AA4915DA81729798DFDC18819	1593	104	74	0D633DFC14F92B59222CB128317D815A59020050F1692E4B114533ABEAF6E828	349710
NumStability.Algorithms.Cholesky.Higham11BunchTraceHadamard	NumStability/Algorithms/Cholesky/Higham11BunchTraceHadamard.lean	38b9149dd51a9a579a5f3e4950de02ffac82c363	059DB8D2098027FA1096D1C1DBDF7BD4784CA25A3AF1BE68B690DEFB94951435	802	68	54	6E63256957C71551739BF02D668292A46585407439DFCEEE7BF30E71E8B47773	147091
NumStability.Algorithms.Cholesky.Higham11Chapter9ActualExecutorBridge	NumStability/Algorithms/Cholesky/Higham11Chapter9ActualExecutorBridge.lean	290395f8cfcfdb06a90e3734f7d4010007f7682f	D115E92F76B32CBFEDFF8E3F36C337A38C083AAA85ADDD649CE87E454B042A87	625	7	7	F5C96108BA7BE62B92E3A7D971E365601B19FD575EA65F2045600A4B002F199E	80000
NumStability.Algorithms.Cholesky.Higham11Chapter9BridgeClosure	NumStability/Algorithms/Cholesky/Higham11Chapter9BridgeClosure.lean	04208360304f8ea9db800bc0271a3f7a8e08ced3	73AEF4A3387D0EDD02AFF40956F0C5ADA29220029F036EF6B50CB327E40B0F8D	1330	46	46	AB383B430619157CB6AFA745F49E3F54BD0AB3A810A679065DC10482C60C2AE1	126844
NumStability.Algorithms.Cholesky.Higham11RookExactTrace	NumStability/Algorithms/Cholesky/Higham11RookExactTrace.lean	06d787a53bfa5a1ca8702968f74eaaddee501260	293E5A7A176E3855A602419E32A9D523F985E88714CAAD5F127B5370D2B91AB1	970	73	45	2D64B48166B4E719A792190A5469C2794A8D37D8CEB2ED83065E2D11EE64EE58	130162
NumStability.Algorithms.Cholesky.Higham11RookExecutorAdapter	NumStability/Algorithms/Cholesky/Higham11RookExecutorAdapter.lean	7a7038cf510ac4a3447743d7d4027e00527dcdbe	8938F272C7D553E2C9729DEA58110A83222204013EE8B06D47C80957233BA06F	138	8	8	BE8127A766D73ED47D59B92D1DAEB8B4F48D9ABA2DB62DA6BDE2ABC94FB0F064	18788
NumStability.Algorithms.Cholesky.Higham11RookRoundedGap	NumStability/Algorithms/Cholesky/Higham11RookRoundedGap.lean	8891888475bccacdfe68f79ecb17410d533e925e	E815B4EB37F619E33D47FF58086D0D3C56B7870481360490EB5CCE36C9F062B1	231	22	22	8AC2D4A0FD7D6F68A9784C88CDA5E3CD40BD99E7DF1BBE4E6423966DC077B164	35786
NumStability.Algorithms.Cholesky.Higham11RookSourceClosure	NumStability/Algorithms/Cholesky/Higham11RookSourceClosure.lean	1f1ed45690055819831d5dee8f189fb436c64b00	8E105EB415C822E29F63E14D3FF8B401640E9B86A4D81DE420C23432FC10E262	592	18	18	3A1E6C2851E9251011753242452C32BED16F09469523294996ED23153B341983	52820
NumStability.Algorithms.Cholesky.Higham11SkewActualSelector	NumStability/Algorithms/Cholesky/Higham11SkewActualSelector.lean	cd5d040a194536a73a5e97b22f63c551a749903d	2B04418BE3B289B73054DC8D74FE74D836054AF045A2956406E0CA0C2E0E69AE	199	18	18	EEB054A92FFD4B08A9D6016A96B0F8750F9BBF50C7E8C6D94AC63479178D4B5D	23264
NumStability.Algorithms.Cholesky.Higham11SkewExactTrace	NumStability/Algorithms/Cholesky/Higham11SkewExactTrace.lean	efbb5c239de32790289f2d4e71b35a89184aef79	BE8A32C8C6BE6D8A5E12D0D3BB9F51A5AEFE292E1E65061650F423B7FAD00449	661	67	35	59D7A63B32880072B4AAA3A2936AD83AC294E006202358FEC796D8AE2D07E08C	69088
NumStability.Algorithms.Cholesky.Higham11SkewSourceCorrection	NumStability/Algorithms/Cholesky/Higham11SkewSourceCorrection.lean	00a4300bf2c3ccc5ac1d68722eb67d3161280529	D2DD17AB295127ABE46DCE68EA495DBCBC46B9783C27125652A9C77DCC5F7712	222	12	12	B9B6C0E776458FE21066AF8890A4CDE5904C9F100D8ACC53B4DCA039DFBE5A68	21784
NumStability.Algorithms.Cholesky.TwoByTwoSchurStepCh11Closure	NumStability/Algorithms/Cholesky/TwoByTwoSchurStepCh11Closure.lean	67712d757292e26b30554faff17eebddc9605060	49B95D6E4DA03E56A86B01422DB8522F110A8011B6B2B454FF001C3FC5F55BAD	428	8	8	B632418D2AD54216540450F132A703E0F123BA3ED4D2316A893917F9CBEED112	51991
