format	1
NumStability.Algorithms.QR.HouseholderQApply	NumStability.Algorithms.QR.HouseholderQR	ordinary
NumStability.Algorithms.QR.HouseholderQR	Mathlib.Algebra.BigOperators.Group.Finset.Basic	ordinary
NumStability.Algorithms.QR.HouseholderQR	Mathlib.Algebra.Order.BigOperators.Group.Finset	ordinary
NumStability.Algorithms.QR.HouseholderQR	Mathlib.Data.Real.Basic	ordinary
NumStability.Algorithms.QR.HouseholderQR	Mathlib.Data.Real.Sqrt	ordinary
NumStability.Algorithms.QR.HouseholderQR	Mathlib.Tactic.Linarith	ordinary
NumStability.Algorithms.QR.HouseholderQR	Mathlib.Tactic.Ring	ordinary
NumStability.Algorithms.QR.HouseholderQR	NumStability.Algorithms.QR.HouseholderMatrixStep	ordinary
NumStability.Algorithms.QR.HouseholderQR	NumStability.Algorithms.QR.HouseholderSpec	ordinary
NumStability.Algorithms.QR.HouseholderQR	NumStability.Analysis.MatrixAlgebra	ordinary
NumStability.Algorithms.QR.HouseholderQRSupport	NumStability.Algorithms.QR.HouseholderApplySupport	ordinary
NumStability.Algorithms.QR.HouseholderQRSupport	NumStability.Algorithms.QR.HouseholderMatrixStep	ordinary
NumStability.Algorithms.QR.HouseholderReflector	Mathlib.Data.Sign.Basic	ordinary
NumStability.Algorithms.QR.HouseholderReflector	Mathlib.Tactic.FieldSimp	ordinary
NumStability.Algorithms.QR.HouseholderReflector	NumStability.Algorithms.Norm2	ordinary
NumStability.Algorithms.QR.HouseholderReflector	NumStability.Algorithms.QR.HouseholderSpec	ordinary
NumStability.Algorithms.QR.HouseholderSpec	Mathlib.Algebra.BigOperators.Group.Finset.Basic	ordinary
NumStability.Algorithms.QR.HouseholderSpec	Mathlib.Algebra.Order.BigOperators.Group.Finset	ordinary
NumStability.Algorithms.QR.HouseholderSpec	Mathlib.Data.Real.Basic	ordinary
NumStability.Algorithms.QR.HouseholderSpec	Mathlib.Data.Real.Sqrt	ordinary
NumStability.Algorithms.QR.HouseholderSpec	Mathlib.Tactic.Linarith	ordinary
NumStability.Algorithms.QR.HouseholderSpec	Mathlib.Tactic.Ring	ordinary
NumStability.Algorithms.QR.HouseholderSpec	NumStability.Analysis.MatrixAlgebra	ordinary
NumStability.Algorithms.QR.HouseholderSpecSupport	NumStability.Algorithms.QR.HouseholderSpec	ordinary
NumStability.Algorithms.QR.QRSolve	Mathlib.Algebra.BigOperators.Group.Finset.Basic	ordinary
NumStability.Algorithms.QR.QRSolve	Mathlib.Algebra.Order.BigOperators.Group.Finset	ordinary
NumStability.Algorithms.QR.QRSolve	Mathlib.Data.Real.Basic	ordinary
NumStability.Algorithms.QR.QRSolve	Mathlib.Data.Real.Sqrt	ordinary
NumStability.Algorithms.QR.QRSolve	Mathlib.Tactic.Linarith	ordinary
NumStability.Algorithms.QR.QRSolve	Mathlib.Tactic.Ring	ordinary
NumStability.Algorithms.QR.QRSolve	NumStability.Algorithms.LinearSystems.Triangular.BackSubstitution	ordinary
NumStability.Algorithms.QR.QRSolve	NumStability.Algorithms.QR.HouseholderQR	ordinary
NumStability.Algorithms.QR.QRSolve	NumStability.Analysis.MatrixAlgebra	ordinary
