format	1
_private.NumStability.Algorithms.LeastSquares.Higham20MPProse.NumStability.higham20_domainProjection_idempotent	_private.NumStability.Algorithms.LeastSquares.Higham20MPProse.0.NumStability.higham20_domainProjection_idempotent	_private.NumStability.Source.Higham.Chapter20.Prose.MoorePenrose.0.NumStability.higham20_domainProjection_idempotent
_private.NumStability.Algorithms.LeastSquares.Higham20MPProse.NumStability.higham20_minimizers_have_same_fitted_vector	_private.NumStability.Algorithms.LeastSquares.Higham20MPProse.0.NumStability.higham20_minimizers_have_same_fitted_vector	_private.NumStability.Source.Higham.Chapter20.Prose.MoorePenrose.0.NumStability.higham20_minimizers_have_same_fitted_vector
_private.NumStability.Algorithms.LeastSquares.Higham20MPProse.NumStability.higham20_rangeProjection_idempotent	_private.NumStability.Algorithms.LeastSquares.Higham20MPProse.0.NumStability.higham20_rangeProjection_idempotent	_private.NumStability.Source.Higham.Chapter20.Prose.MoorePenrose.0.NumStability.higham20_rangeProjection_idempotent
_private.NumStability.Algorithms.LeastSquares.Higham20MPProse.NumStability.higham20_vecNorm2Sq_sub_comm	_private.NumStability.Algorithms.LeastSquares.Higham20MPProse.0.NumStability.higham20_vecNorm2Sq_sub_comm	_private.NumStability.Source.Higham.Chapter20.Prose.MoorePenrose.0.NumStability.higham20_vecNorm2Sq_sub_comm
_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.NumStability.higham20P404SquareDeltaA	_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.0.NumStability.higham20P404SquareDeltaA	_private.NumStability.Source.Higham.Chapter20.MinimumNormBackwardError.0.NumStability.higham20P404SquareDeltaA
_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.NumStability.higham20P404SquareDeltaB	_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.0.NumStability.higham20P404SquareDeltaB	_private.NumStability.Source.Higham.Chapter20.MinimumNormBackwardError.0.NumStability.higham20P404SquareDeltaB
_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.NumStability.higham20_p404_sqrt_two_le_square_strong_cost	_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.0.NumStability.higham20_p404_sqrt_two_le_square_strong_cost	_private.NumStability.Source.Higham.Chapter20.MinimumNormBackwardError.0.NumStability.higham20_p404_sqrt_two_le_square_strong_cost
_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.NumStability.higham20_p404_square_cost	_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.0.NumStability.higham20_p404_square_cost	_private.NumStability.Source.Higham.Chapter20.MinimumNormBackwardError.0.NumStability.higham20_p404_square_cost
_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.NumStability.higham20_p404_square_ordinary_feasible_at_zero	_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.0.NumStability.higham20_p404_square_ordinary_feasible_at_zero	_private.NumStability.Source.Higham.Chapter20.MinimumNormBackwardError.0.NumStability.higham20_p404_square_ordinary_feasible_at_zero
_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.NumStability.higham20_p404_square_strong_feasible_at_two	_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.0.NumStability.higham20_p404_square_strong_feasible_at_two	_private.NumStability.Source.Higham.Chapter20.MinimumNormBackwardError.0.NumStability.higham20_p404_square_strong_feasible_at_two
_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.NumStability.higham20_p404_square_strong_implies_relation	_private.NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError.0.NumStability.higham20_p404_square_strong_implies_relation	_private.NumStability.Source.Higham.Chapter20.MinimumNormBackwardError.0.NumStability.higham20_p404_square_strong_implies_relation
_private.NumStability.Algorithms.LeastSquares.Higham20NormalEquationsNorms.NumStability.frobNormRect_sq_eq_complexMatrixFrobeniusSq_realRect	_private.NumStability.Algorithms.LeastSquares.Higham20NormalEquationsNorms.0.NumStability.frobNormRect_sq_eq_complexMatrixFrobeniusSq_realRect	_private.NumStability.Analysis.Perturbation.LeastSquares.NormalEquations.0.NumStability.frobNormRect_sq_eq_complexMatrixFrobeniusSq_realRect
_private.NumStability.Algorithms.LeastSquares.Higham20NormalEquationsNorms.NumStability.higham20_realRectMatrixRank_finiteTranspose	_private.NumStability.Algorithms.LeastSquares.Higham20NormalEquationsNorms.0.NumStability.higham20_realRectMatrixRank_finiteTranspose	_private.NumStability.Analysis.Perturbation.LeastSquares.NormalEquations.0.NumStability.higham20_realRectMatrixRank_finiteTranspose
_private.NumStability.Algorithms.LeastSquares.Higham20NormalEquationsNorms.NumStability.higham20_realRectMatrixRank_le_width	_private.NumStability.Algorithms.LeastSquares.Higham20NormalEquationsNorms.0.NumStability.higham20_realRectMatrixRank_le_width	_private.NumStability.Analysis.Perturbation.LeastSquares.NormalEquations.0.NumStability.higham20_realRectMatrixRank_le_width
_private.NumStability.Algorithms.LeastSquares.Higham20Problem20_3.NumStability.higham20_problem20_3_reciprocalDiagonal_left_inverse	_private.NumStability.Algorithms.LeastSquares.Higham20Problem20_3.0.NumStability.higham20_problem20_3_reciprocalDiagonal_left_inverse	_private.NumStability.Source.Higham.Chapter20.Problem03.0.NumStability.higham20_problem20_3_reciprocalDiagonal_left_inverse
_private.NumStability.Algorithms.LeastSquares.Higham20Problem20_3.NumStability.higham20_problem20_3_reciprocalDiagonal_right_inverse	_private.NumStability.Algorithms.LeastSquares.Higham20Problem20_3.0.NumStability.higham20_problem20_3_reciprocalDiagonal_right_inverse	_private.NumStability.Source.Higham.Chapter20.Problem03.0.NumStability.higham20_problem20_3_reciprocalDiagonal_right_inverse
_private.NumStability.Algorithms.LeastSquares.Higham20Problem20_3.NumStability.higham20_rectMatMul_cancel_middle	_private.NumStability.Algorithms.LeastSquares.Higham20Problem20_3.0.NumStability.higham20_rectMatMul_cancel_middle	_private.NumStability.Source.Higham.Chapter20.Problem03.0.NumStability.higham20_rectMatMul_cancel_middle
_private.NumStability.Algorithms.LeastSquares.Higham20Problem20_3.NumStability.higham20_symmetric_eq_of_mul_eq_left	_private.NumStability.Algorithms.LeastSquares.Higham20Problem20_3.0.NumStability.higham20_symmetric_eq_of_mul_eq_left	_private.NumStability.Source.Higham.Chapter20.Problem03.0.NumStability.higham20_symmetric_eq_of_mul_eq_left
_private.NumStability.Algorithms.LeastSquares.Higham20Problem20_3.NumStability.higham20_symmetric_eq_of_mul_eq_right	_private.NumStability.Algorithms.LeastSquares.Higham20Problem20_3.0.NumStability.higham20_symmetric_eq_of_mul_eq_right	_private.NumStability.Source.Higham.Chapter20.Problem03.0.NumStability.higham20_symmetric_eq_of_mul_eq_right
_private.NumStability.Algorithms.LeastSquares.Higham20QuantitativeProse.NumStability.higham20_realRectMatrixRank_finiteTranspose	_private.NumStability.Algorithms.LeastSquares.Higham20QuantitativeProse.0.NumStability.higham20_realRectMatrixRank_finiteTranspose	_private.NumStability.Source.Higham.Chapter20.Prose.Quantitative.0.NumStability.higham20_realRectMatrixRank_finiteTranspose
_private.NumStability.Algorithms.LeastSquares.Higham20QuantitativeProse.NumStability.higham20_realRectMatrixRank_le_width	_private.NumStability.Algorithms.LeastSquares.Higham20QuantitativeProse.0.NumStability.higham20_realRectMatrixRank_le_width	_private.NumStability.Source.Higham.Chapter20.Prose.Quantitative.0.NumStability.higham20_realRectMatrixRank_le_width
_private.NumStability.Algorithms.LeastSquares.Higham20Remaining.NumStability.higham20_leftInverse_mulVec_mulVec	_private.NumStability.Algorithms.LeastSquares.Higham20Remaining.0.NumStability.higham20_leftInverse_mulVec_mulVec	_private.NumStability.Source.Higham.Chapter20.Remaining.0.NumStability.higham20_leftInverse_mulVec_mulVec
_private.NumStability.Algorithms.LeastSquares.Higham20Remaining.NumStability.higham20_orthogonal_mulVec_transpose_mulVec	_private.NumStability.Algorithms.LeastSquares.Higham20Remaining.0.NumStability.higham20_orthogonal_mulVec_transpose_mulVec	_private.NumStability.Source.Higham.Chapter20.Remaining.0.NumStability.higham20_orthogonal_mulVec_transpose_mulVec
_private.NumStability.Algorithms.LeastSquares.Higham20Remaining.NumStability.higham20_orthogonal_transpose_mulVec_mulVec	_private.NumStability.Algorithms.LeastSquares.Higham20Remaining.0.NumStability.higham20_orthogonal_transpose_mulVec_mulVec	_private.NumStability.Source.Higham.Chapter20.Remaining.0.NumStability.higham20_orthogonal_transpose_mulVec_mulVec
_private.NumStability.Algorithms.LeastSquares.Higham20RowSorting.NumStability.Higham20RowSorting.daAcc_zero	_private.NumStability.Algorithms.LeastSquares.Higham20RowSorting.0.NumStability.Higham20RowSorting.daAcc_zero	_private.NumStability.Source.Higham.Chapter20.Theorem07.RowPolicy.0.NumStability.Higham20RowSorting.daAcc_zero
