format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.DoolittleDenseLoopAbsBudgetCertificate.to_LUBackwardError	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LU.Doolittle	retain_historical	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate.to_LUBackwardError	2098
NumStability.DoolittleDenseLoopAbsBudgetCertificate.to_denseLoopCertificate	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopAbsBudgetCertificate.to_denseLoopCertificate	1628
NumStability.DoolittleDenseLoopCertificate	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	inductive	public	NumStability.DoolittleDenseLoopCertificate	1547
NumStability.DoolittleDenseLoopCertificate.L_diag	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopCertificate	1547
NumStability.DoolittleDenseLoopCertificate.L_entry_eq	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopCertificate	1547
NumStability.DoolittleDenseLoopCertificate.L_residual_compression	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopCertificate	1547
NumStability.DoolittleDenseLoopCertificate.L_upper_zero	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopCertificate	1547
NumStability.DoolittleDenseLoopCertificate.U_entry_eq	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopCertificate	1547
NumStability.DoolittleDenseLoopCertificate.U_lower_zero	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopCertificate	1547
NumStability.DoolittleDenseLoopCertificate.U_residual_compression	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	theorem	public	NumStability.DoolittleDenseLoopCertificate	1547
NumStability.DoolittleDenseLoopCertificate.casesOn	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	definition	public	NumStability.DoolittleDenseLoopCertificate	1547
NumStability.DoolittleDenseLoopCertificate.mk	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	constructor	public	NumStability.DoolittleDenseLoopCertificate	1547
NumStability.DoolittleDenseLoopCertificate.rec	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	recursor	public	NumStability.DoolittleDenseLoopCertificate	1547
